camera_id,camera_Location,Species,survey_id,class,Day,Night,Camara_Buffer,Buffer,Locacion,Longitude,Latitude,HEH_18_Mean,HEH_70_Mean,HEH_dif_Mean
CTPC_001,CTPC,Nyctidromus_albicollis,Casanare,Aves,1,14,CTPC_001_750,750,Casanare,-72.73278,4.96959,65.33333333,14.83333333,50.5
CTPC_001,CTPC,Nyctidromus_albicollis,Casanare,Aves,1,14,CTPC_001_2000,2000,Casanare,-72.73278,4.96959,65.12121212,15.22727273,49.89393939
CTPC_001,CTPC,Ortalis_ruficauda,Casanare,Aves,1,0,CTPC_001_250,250,Casanare,-72.73278,4.96959,65,14,51
CTPC_001,CTPC,Ortalis_ruficauda,Casanare,Aves,1,0,CTPC_001_1000,1000,Casanare,-72.73278,4.96959,65.38235294,14.97058824,50.41176471
CTPC_001,CTPC,Ortalis_ruficauda,Casanare,Aves,1,0,CTPC_001_500,500,Casanare,-72.73278,4.96959,65,14.42857143,50.57142857
CTPC_001,CTPC,Ortalis_ruficauda,Casanare,Aves,1,0,CTPC_001_750,750,Casanare,-72.73278,4.96959,65.33333333,14.83333333,50.5
CTPC_001,CTPC,Ortalis_ruficauda,Casanare,Aves,1,0,CTPC_001_2000,2000,Casanare,-72.73278,4.96959,65.12121212,15.22727273,49.89393939
CTPC_001,CTPC,Homo_sapiens,Casanare,Mammalia,2,0,CTPC_001_250,250,Casanare,-72.73278,4.96959,65,14,51
CTPC_001,CTPC,Homo_sapiens,Casanare,Mammalia,2,0,CTPC_001_1000,1000,Casanare,-72.73278,4.96959,65.38235294,14.97058824,50.41176471
CTPC_001,CTPC,Homo_sapiens,Casanare,Mammalia,2,0,CTPC_001_500,500,Casanare,-72.73278,4.96959,65,14.42857143,50.57142857
CTPC_001,CTPC,Homo_sapiens,Casanare,Mammalia,2,0,CTPC_001_750,750,Casanare,-72.73278,4.96959,65.33333333,14.83333333,50.5
CTPC_001,CTPC,Homo_sapiens,Casanare,Mammalia,2,0,CTPC_001_2000,2000,Casanare,-72.73278,4.96959,65.12121212,15.22727273,49.89393939
CTPC_001,CTPC,Leptotila_rufaxilla,Casanare,Aves,4,0,CTPC_001_250,250,Casanare,-72.73278,4.96959,65,14,51
CTPC_001,CTPC,Leptotila_rufaxilla,Casanare,Aves,4,0,CTPC_001_1000,1000,Casanare,-72.73278,4.96959,65.38235294,14.97058824,50.41176471
CTPC_001,CTPC,Leptotila_rufaxilla,Casanare,Aves,4,0,CTPC_001_500,500,Casanare,-72.73278,4.96959,65,14.42857143,50.57142857
CTPC_001,CTPC,Leptotila_rufaxilla,Casanare,Aves,4,0,CTPC_001_750,750,Casanare,-72.73278,4.96959,65.33333333,14.83333333,50.5
CTPC_001,CTPC,Leptotila_rufaxilla,Casanare,Aves,4,0,CTPC_001_2000,2000,Casanare,-72.73278,4.96959,65.12121212,15.22727273,49.89393939
CTPC_001,CTPC,Cuniculus_paca,Casanare,Mammalia,0,8,CTPC_001_250,250,Casanare,-72.73278,4.96959,65,14,51
CTPC_001,CTPC,Cuniculus_paca,Casanare,Mammalia,0,8,CTPC_001_1000,1000,Casanare,-72.73278,4.96959,65.38235294,14.97058824,50.41176471
CTPC_001,CTPC,Cuniculus_paca,Casanare,Mammalia,0,8,CTPC_001_500,500,Casanare,-72.73278,4.96959,65,14.42857143,50.57142857
CTPC_001,CTPC,Cuniculus_paca,Casanare,Mammalia,0,8,CTPC_001_750,750,Casanare,-72.73278,4.96959,65.33333333,14.83333333,50.5
CTPC_001,CTPC,Cuniculus_paca,Casanare,Mammalia,0,8,CTPC_001_2000,2000,Casanare,-72.73278,4.96959,65.12121212,15.22727273,49.89393939
CTPC_001,CTPC,Tamandua_tetradactyla,Casanare,Mammalia,0,1,CTPC_001_250,250,Casanare,-72.73278,4.96959,65,14,51
CTPC_001,CTPC,Tamandua_tetradactyla,Casanare,Mammalia,0,1,CTPC_001_1000,1000,Casanare,-72.73278,4.96959,65.38235294,14.97058824,50.41176471
CTPC_001,CTPC,Tamandua_tetradactyla,Casanare,Mammalia,0,1,CTPC_001_500,500,Casanare,-72.73278,4.96959,65,14.42857143,50.57142857
CTPC_001,CTPC,Tamandua_tetradactyla,Casanare,Mammalia,0,1,CTPC_001_750,750,Casanare,-72.73278,4.96959,65.33333333,14.83333333,50.5
CTPC_001,CTPC,Tamandua_tetradactyla,Casanare,Mammalia,0,1,CTPC_001_2000,2000,Casanare,-72.73278,4.96959,65.12121212,15.22727273,49.89393939
CTPC_001,CTPC,Turdus_leucomelas,Casanare,Aves,2,0,CTPC_001_250,250,Casanare,-72.73278,4.96959,65,14,51
CTPC_001,CTPC,Turdus_leucomelas,Casanare,Aves,2,0,CTPC_001_1000,1000,Casanare,-72.73278,4.96959,65.38235294,14.97058824,50.41176471
CTPC_001,CTPC,Turdus_leucomelas,Casanare,Aves,2,0,CTPC_001_500,500,Casanare,-72.73278,4.96959,65,14.42857143,50.57142857
CTPC_001,CTPC,Turdus_leucomelas,Casanare,Aves,2,0,CTPC_001_750,750,Casanare,-72.73278,4.96959,65.33333333,14.83333333,50.5
CTPC_001,CTPC,Turdus_leucomelas,Casanare,Aves,2,0,CTPC_001_2000,2000,Casanare,-72.73278,4.96959,65.12121212,15.22727273,49.89393939
CTPC_001,CTPC,Mazama_americana,Casanare,Mammalia,1,0,CTPC_001_250,250,Casanare,-72.73278,4.96959,65,14,51
CTPC_001,CTPC,Mazama_americana,Casanare,Mammalia,1,0,CTPC_001_1000,1000,Casanare,-72.73278,4.96959,65.38235294,14.97058824,50.41176471
CTPC_001,CTPC,Mazama_americana,Casanare,Mammalia,1,0,CTPC_001_500,500,Casanare,-72.73278,4.96959,65,14.42857143,50.57142857
CTPC_001,CTPC,Mazama_americana,Casanare,Mammalia,1,0,CTPC_001_750,750,Casanare,-72.73278,4.96959,65.33333333,14.83333333,50.5
CTPC_001,CTPC,Mazama_americana,Casanare,Mammalia,1,0,CTPC_001_2000,2000,Casanare,-72.73278,4.96959,65.12121212,15.22727273,49.89393939
CTPC_001,CTPC,Dasypus_novemcinctus,Casanare,Mammalia,0,1,CTPC_001_250,250,Casanare,-72.73278,4.96959,65,14,51
CTPC_001,CTPC,Dasypus_novemcinctus,Casanare,Mammalia,0,1,CTPC_001_1000,1000,Casanare,-72.73278,4.96959,65.38235294,14.97058824,50.41176471
CTPC_001,CTPC,Dasypus_novemcinctus,Casanare,Mammalia,0,1,CTPC_001_500,500,Casanare,-72.73278,4.96959,65,14.42857143,50.57142857
CTPC_001,CTPC,Dasypus_novemcinctus,Casanare,Mammalia,0,1,CTPC_001_750,750,Casanare,-72.73278,4.96959,65.33333333,14.83333333,50.5
CTPC_001,CTPC,Dasypus_novemcinctus,Casanare,Mammalia,0,1,CTPC_001_2000,2000,Casanare,-72.73278,4.96959,65.12121212,15.22727273,49.89393939
CTPC_002,CTPC,Aramides_cajaneus,Casanare,Aves,0,1,CTPC_002_250,250,Casanare,-72.72425,4.96862,65,17,48
CTPC_002,CTPC,Aramides_cajaneus,Casanare,Aves,0,1,CTPC_002_500,500,Casanare,-72.72425,4.96862,63.77777778,17,46.77777778
CTPC_002,CTPC,Aramides_cajaneus,Casanare,Aves,0,1,CTPC_002_1000,1000,Casanare,-72.72425,4.96862,64.6875,16.625,48.0625
CTPC_002,CTPC,Aramides_cajaneus,Casanare,Aves,0,1,CTPC_002_750,750,Casanare,-72.72425,4.96862,64.22222222,17,47.22222222
CTPC_002,CTPC,Aramides_cajaneus,Casanare,Aves,0,1,CTPC_002_2000,2000,Casanare,-72.72425,4.96862,65.6875,16.34375,49.34375
CTPC_002,CTPC,Cerdocyon_thous,Casanare,Mammalia,0,1,CTPC_002_250,250,Casanare,-72.72425,4.96862,65,17,48
CTPC_002,CTPC,Cerdocyon_thous,Casanare,Mammalia,0,1,CTPC_002_500,500,Casanare,-72.72425,4.96862,63.77777778,17,46.77777778
CTPC_002,CTPC,Cerdocyon_thous,Casanare,Mammalia,0,1,CTPC_002_1000,1000,Casanare,-72.72425,4.96862,64.6875,16.625,48.0625
CTPC_002,CTPC,Cerdocyon_thous,Casanare,Mammalia,0,1,CTPC_002_750,750,Casanare,-72.72425,4.96862,64.22222222,17,47.22222222
CTPC_002,CTPC,Cerdocyon_thous,Casanare,Mammalia,0,1,CTPC_002_2000,2000,Casanare,-72.72425,4.96862,65.6875,16.34375,49.34375
CTPC_002,CTPC,Bos_taurus,Casanare,Mammalia,0,1,CTPC_002_250,250,Casanare,-72.72425,4.96862,65,17,48
CTPC_002,CTPC,Bos_taurus,Casanare,Mammalia,0,1,CTPC_002_500,500,Casanare,-72.72425,4.96862,63.77777778,17,46.77777778
CTPC_002,CTPC,Bos_taurus,Casanare,Mammalia,0,1,CTPC_002_1000,1000,Casanare,-72.72425,4.96862,64.6875,16.625,48.0625
CTPC_002,CTPC,Bos_taurus,Casanare,Mammalia,0,1,CTPC_002_750,750,Casanare,-72.72425,4.96862,64.22222222,17,47.22222222
CTPC_002,CTPC,Bos_taurus,Casanare,Mammalia,0,1,CTPC_002_2000,2000,Casanare,-72.72425,4.96862,65.6875,16.34375,49.34375
CTPC_002,CTPC,Leptotila_verreauxi,Casanare,Aves,0,1,CTPC_002_250,250,Casanare,-72.72425,4.96862,65,17,48
CTPC_002,CTPC,Leptotila_verreauxi,Casanare,Aves,0,1,CTPC_002_500,500,Casanare,-72.72425,4.96862,63.77777778,17,46.77777778
CTPC_002,CTPC,Leptotila_verreauxi,Casanare,Aves,0,1,CTPC_002_1000,1000,Casanare,-72.72425,4.96862,64.6875,16.625,48.0625
CTPC_002,CTPC,Leptotila_verreauxi,Casanare,Aves,0,1,CTPC_002_750,750,Casanare,-72.72425,4.96862,64.22222222,17,47.22222222
CTPC_002,CTPC,Leptotila_verreauxi,Casanare,Aves,0,1,CTPC_002_2000,2000,Casanare,-72.72425,4.96862,65.6875,16.34375,49.34375
CTPC_002,CTPC,Homo_sapiens,Casanare,Mammalia,1,1,CTPC_002_250,250,Casanare,-72.72425,4.96862,65,17,48
CTPC_002,CTPC,Homo_sapiens,Casanare,Mammalia,1,1,CTPC_002_500,500,Casanare,-72.72425,4.96862,63.77777778,17,46.77777778
CTPC_002,CTPC,Homo_sapiens,Casanare,Mammalia,1,1,CTPC_002_1000,1000,Casanare,-72.72425,4.96862,64.6875,16.625,48.0625
CTPC_002,CTPC,Homo_sapiens,Casanare,Mammalia,1,1,CTPC_002_750,750,Casanare,-72.72425,4.96862,64.22222222,17,47.22222222
CTPC_002,CTPC,Homo_sapiens,Casanare,Mammalia,1,1,CTPC_002_2000,2000,Casanare,-72.72425,4.96862,65.6875,16.34375,49.34375
